59.882145
0x40102a 0.015603         "[unknown]" 0
0x439200 0.013678         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\app.c" 15130
0x43c560 0.012694         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\app.c" 19810
0x43cecc 0.001947         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\world\entity_registry.c" 42
0x43d27f 0.001954         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\world\world.c" 1423
0x43d31f 0.172003         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\world\world.c" 1353
0x447269 0.001962         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\world\world_cycle.c" 893
0x447c81 0.001962         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\app.c" 13602
0x447dcf 0.001953         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\world\world_cycle.c" 1122
0x4491d2 0.017587         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\app.c" 26961
0x44940d 0.021551         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\toridraw_scene.c" 1304
0x4495a2 0.001964         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\toridraw_intrusive_list.h" 61
0x4495c0 0.001963         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\app.c" 13835
0x4495cd 0.007852         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\app.c" 13838
0x449754 0.003906         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\toridraw_model.c" 1056
0x4498d4 0.001959         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\app.c" 13881
0x449b05 0.001965         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\app.c" 27246
0x44a214 0.001960         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\world\world_cycle.c" 1817
0x44ab2e 0.001971         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\app.c" 21585
0x4535e0 0.010741         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\app.c" 24382
0x4537ca 0.012691         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\ui\uitree_layout.c" 28
0x453d21 0.071299         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\input\torirs_input_cmd.c" 11
0x45469b 0.002924         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\app.c" 24677
0x454f86 0.001948         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\platform\platform_x_io.c" 917
0x455064 0.001944         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\asyncio.h" 454
0x45527d 0.002924         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\asyncio.h" 441
0x457baf 0.001971         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\app.c" 25795
0x458b8d 0.002920         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\app.c" 25698
0x45c32b 0.001946         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\app.c" 16418
0x45c481 0.001962         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\app.c" 27061
0x45d850 0.013670         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\app.c" 28104
0x45dad8 0.001954         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\app.c" 28152
0x45dd00 0.001944         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\app.c" 2129
0x45dde4 0.001947         "C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\app.c" 2167
