rsprot packet-codec generation status
revisions 221-239; 215 packets emitted, 3 refused

--- emitted (prot, file, dir, layouts, revisions covered) ---
  OK   MIDI_SONG_OLD                    midi_song_old.c out   4 layout(s)  5 rev(s)
  OK   MIDI_SONG_STOP                   midi_song_stop.c out  12 layout(s) 19 rev(s)
  OK   MIDI_SONG_V1                     midi_song_v1.c out   1 layout(s)  1 rev(s)
  OK   MIDI_SONG_V2                     midi_song_v2.c out  14 layout(s) 14 rev(s)
  OK   MIDI_SONG_WITHSECONDARY          midi_song_withsecondary.c out  19 layout(s) 19 rev(s)
  OK   MIDI_SWAP                        midi_swap.c out  19 layout(s) 19 rev(s)
  OK   MINIMAP_TOGGLE                   minimap_toggle.c out   1 layout(s) 19 rev(s)
  OK   MOVE_GAMECLICK                   move_gameclick.c in   18 layout(s) 19 rev(s)
  OK   MOVE_MINIMAPCLICK                move_minimapclick.c in   18 layout(s) 19 rev(s)
  OK   NO_TIMEOUT                       no_timeout.c in    1 layout(s) 19 rev(s)
  OK   NPC_ANIM_SPECIFIC                npc_anim_specific.c out  19 layout(s) 19 rev(s)
  OK   NPC_HEADICON_SPECIFIC            npc_headicon_specific.c out  19 layout(s) 19 rev(s)
  OK   OBJ_ADD                          obj_add.c out  19 layout(s) 19 rev(s)
  OK   OBJ_ADD_SPECIFIC                 obj_add_specific.c out   8 layout(s)  8 rev(s)
  OK   OBJ_COUNT                        obj_count.c out  19 layout(s) 19 rev(s)
  OK   OBJ_COUNT_SPECIFIC               obj_count_specific.c out   8 layout(s)  8 rev(s)
  OK   OBJ_CUSTOMISE                    obj_customise.c out  14 layout(s) 14 rev(s)
  OK   OBJ_CUSTOMISE_SPECIFIC           obj_customise_specific.c out   8 layout(s)  8 rev(s)
  OK   OBJ_DEL                          obj_del.c out  17 layout(s) 19 rev(s)
  OK   OBJ_DEL_SPECIFIC                 obj_del_specific.c out   8 layout(s)  8 rev(s)
  OK   OBJ_ENABLED_OPS                  obj_enabled_ops.c out  17 layout(s) 17 rev(s)
  OK   OBJ_ENABLED_OPS_SPECIFIC         obj_enabled_ops_specific.c out   8 layout(s)  8 rev(s)
  OK   OBJ_OPFILTER                     obj_opfilter.c out   2 layout(s)  2 rev(s)
  OK   OBJ_UNCUSTOMISE                  obj_uncustomise.c out  14 layout(s) 14 rev(s)
  OK   OBJ_UNCUSTOMISE_SPECIFIC         obj_uncustomise_specific.c out   8 layout(s)  8 rev(s)
  OK   OCULUS_SYNC                      oculus_sync.c out   1 layout(s) 19 rev(s)
  OK   OPLOC6                           oploc6.c in    4 layout(s) 19 rev(s)
  OK   OPNPC6                           opnpc6.c in    4 layout(s) 19 rev(s)
  OK   OPOBJ6                           opobj6.c in   18 layout(s) 19 rev(s)
  OK   OPWORLDENTITY6                   opworldentity6.c in    4 layout(s)  7 rev(s)
  OK   PACKET_GROUP_START               packet_group_start.c out   1 layout(s) 13 rev(s)
  OK   PROJANIM_SPECIFIC                projanim_specific.c out   5 layout(s)  5 rev(s)
  OK   PROJANIM_SPECIFIC_V3             projanim_specific_v3.c out   6 layout(s)  6 rev(s)
  OK   PROJANIM_SPECIFIC_V4             projanim_specific_v4.c out   9 layout(s)  9 rev(s)
  OK   REBUILD_NORMAL_V2                rebuild_normal_v2.c out   3 layout(s)  3 rev(s)
  OK   REBUILD_REGION                   rebuild_region.c out  14 layout(s) 14 rev(s)
  OK   REBUILD_REGION_V1                rebuild_region_v1.c out   1 layout(s)  1 rev(s)
  OK   REBUILD_REGION_V2                rebuild_region_v2.c out   3 layout(s)  3 rev(s)
  OK   REBUILD_WORLDENTITY_V2           rebuild_worldentity_v2.c out   1 layout(s)  4 rev(s)
  OK   REBUILD_WORLDENTITY_V3           rebuild_worldentity_v3.c out   2 layout(s)  9 rev(s)
  OK   REBUILD_WORLDENTITY_V4           rebuild_worldentity_v4.c out   1 layout(s)  3 rev(s)
  OK   RESET_ANIMS                      reset_anims.c out   1 layout(s) 19 rev(s)
  OK   RESET_INTERACTION_MODE           reset_interaction_mode.c out   1 layout(s) 14 rev(s)
  OK   RESUME_PAUSEBUTTON               resume_pausebutton.c in   16 layout(s) 19 rev(s)
  OK   RESUME_P_COUNTDIALOG             resume_p_countdialog.c in    1 layout(s) 19 rev(s)
  OK   RESUME_P_COUNTDIALOG_LONG        resume_p_countdialog_long.c in    1 layout(s)  3 rev(s)
  OK   RESUME_P_NAMEDIALOG              resume_p_namedialog.c in    1 layout(s) 19 rev(s)
  OK   RESUME_P_OBJDIALOG               resume_p_objdialog.c in    1 layout(s) 19 rev(s)
  OK   RESUME_P_STRINGDIALOG            resume_p_stringdialog.c in    1 layout(s) 19 rev(s)
  OK   RSEVEN_STATUS                    rseven_status.c in    1 layout(s) 13 rev(s)
  OK   SCRIPTEDPROJ_ADD                 scriptedproj_add.c out   1 layout(s)  1 rev(s)
  OK   SCRIPTEDPROJ_CHANGE              scriptedproj_change.c out   1 layout(s)  1 rev(s)
  OK   SEND_PING                        send_ping.c out   1 layout(s) 19 rev(s)
  OK   SEND_PING_REPLY                  send_ping_reply.c in   19 layout(s) 19 rev(s)
  OK   SERVER_TICK_END                  server_tick_end.c out   1 layout(s) 19 rev(s)
  OK   SET_CHATFILTERSETTINGS           set_chatfiltersettings.c in    1 layout(s) 19 rev(s)
  OK   SET_HEADING                      set_heading.c in    4 layout(s) 14 rev(s)
  OK   SET_HEATMAP_ENABLED              set_heatmap_enabled.c out   1 layout(s) 17 rev(s)
  OK   SET_INTERACTION_MODE             set_interaction_mode.c out   1 layout(s) 14 rev(s)
  OK   SET_MAP_FLAG                     set_map_flag.c out   1 layout(s) 15 rev(s)
  OK   SET_MAP_FLAG_V1                  set_map_flag_v1.c out   1 layout(s)  1 rev(s)
  OK   SET_MAP_FLAG_V2                  set_map_flag_v2.c out   1 layout(s)  4 rev(s)
  OK   SET_NPC_UPDATE_ORIGIN            set_npc_update_origin.c out   1 layout(s) 18 rev(s)
  OK   SITE_SETTINGS                    site_settings.c out   1 layout(s) 17 rev(s)
  OK   SOUND_AREA                       sound_area.c out  19 layout(s) 19 rev(s)
  OK   SOUND_JINGLEEND                  sound_jingleend.c in    1 layout(s) 19 rev(s)
  OK   SYNTH_SOUND                      synth_sound.c out   1 layout(s) 19 rev(s)
  OK   TELEPORT                         teleport.c in   19 layout(s) 19 rev(s)
  OK   TIMINGS                          timings.c in    1 layout(s)  2 rev(s)
  OK   TRIGGER_ONDIALOGABORT            trigger_ondialogabort.c out   1 layout(s) 19 rev(s)
  OK   UPDATE_INV_STOPTRANSMIT          update_inv_stoptransmit.c out   4 layout(s) 19 rev(s)
  OK   UPDATE_REBOOT_TIMER              update_reboot_timer.c out   4 layout(s) 15 rev(s)
  OK   UPDATE_REBOOT_TIMER_V1           update_reboot_timer_v1.c out   1 layout(s)  1 rev(s)
  OK   UPDATE_RUNENERGY                 update_runenergy.c out   1 layout(s) 19 rev(s)
  OK   UPDATE_RUNWEIGHT                 update_runweight.c out   1 layout(s) 19 rev(s)
  OK   UPDATE_SITESETTINGS              update_sitesettings.c out   1 layout(s)  2 rev(s)
  OK   UPDATE_STAT                      update_stat.c out   5 layout(s)  5 rev(s)
  OK   UPDATE_STAT_OLD                  update_stat_old.c out   5 layout(s)  5 rev(s)
  OK   UPDATE_STAT_V1                   update_stat_v1.c out   1 layout(s)  1 rev(s)
  OK   UPDATE_STAT_V2                   update_stat_v2.c out  14 layout(s) 14 rev(s)
  OK   UPDATE_ZONE_FULL_FOLLOWS         update_zone_full_follows.c out  19 layout(s) 19 rev(s)
