# round-trip: 9615/9725 decompiled, 9610 compiled, 9161 same-length, 8540 exact
script_id	stage	detail
5019	diff	same length, different bytes
5020	diff	same length, different bytes
5021	diff	same length, different bytes
5022	diff	same length, different bytes
5027	diff	same length, different bytes
5028	diff	same length, different bytes
5033	diff	same length, different bytes
5034	diff	same length, different bytes
5039	diff	same length, different bytes
5040	diff	same length, different bytes
5045	diff	same length, different bytes
5046	diff	same length, different bytes
5051	diff	same length, different bytes
5052	diff	same length, different bytes
5057	diff	same length, different bytes
5058	diff	same length, different bytes
5063	diff	same length, different bytes
5064	diff	same length, different bytes
5069	diff	same length, different bytes
5070	diff	same length, different bytes
5073	diff	same length, different bytes
5079	diff	same length, different bytes
5080	diff	same length, different bytes
5081	diff	same length, different bytes
5082	diff	same length, different bytes
5083	diff	same length, different bytes
5102	diff	same length, different bytes
5109	diff	287 bytes vs 278
5119	diff	same length, different bytes
5135	diff	same length, different bytes
5136	diff	same length, different bytes
5161	decompile	script 5161 pc 42: opcode 34 expected a int on the operand stack
5215	diff	same length, different bytes
5216	diff	same length, different bytes
5217	diff	200 bytes vs 197
5222	diff	same length, different bytes
5227	diff	356 bytes vs 350
5234	diff	2475 bytes vs 2457
5262	diff	same length, different bytes
5272	diff	same length, different bytes
5305	diff	same length, different bytes
5309	diff	same length, different bytes
5314	diff	same length, different bytes
5315	diff	same length, different bytes
5333	diff	182 bytes vs 179
5339	diff	same length, different bytes
5353	diff	164 bytes vs 149
5355	decompile	script 5355 pc 191: opcode 8 left 3 values on the operand stack
5357	diff	same length, different bytes
5358	diff	same length, different bytes
5360	decompile	script 5360 pc 15: opcode 3170 was given an argument of the wrong stack type
5381	diff	same length, different bytes
5383	diff	633 bytes vs 618
5385	diff	same length, different bytes
5386	diff	633 bytes vs 618
5388	diff	633 bytes vs 618
5390	diff	633 bytes vs 618
5392	diff	633 bytes vs 618
5394	diff	633 bytes vs 618
5397	diff	754 bytes vs 739
5399	diff	288 bytes vs 273
5401	diff	288 bytes vs 273
5403	diff	288 bytes vs 273
5405	diff	288 bytes vs 273
5407	diff	288 bytes vs 273
5409	diff	288 bytes vs 273
5411	diff	288 bytes vs 273
5413	diff	288 bytes vs 273
5415	diff	288 bytes vs 273
5417	diff	288 bytes vs 273
5419	diff	288 bytes vs 273
5421	diff	288 bytes vs 273
5423	diff	288 bytes vs 273
5425	diff	288 bytes vs 273
5427	diff	288 bytes vs 273
5429	diff	288 bytes vs 273
5431	diff	288 bytes vs 273
5433	diff	288 bytes vs 273
5435	diff	288 bytes vs 273
5437	diff	288 bytes vs 273
5439	diff	288 bytes vs 273
5441	diff	288 bytes vs 273
5443	diff	288 bytes vs 273
5472	diff	173 bytes vs 167
5476	diff	173 bytes vs 167
5479	diff	173 bytes vs 167
5481	diff	354 bytes vs 348
5482	diff	166 bytes vs 160
5483	diff	166 bytes vs 160
5500	compile	line 26: expected ','
5501	diff	same length, different bytes
5520	diff	107 bytes vs 104
5529	diff	same length, different bytes
5548	diff	same length, different bytes
5556	diff	same length, different bytes
5720	diff	2475 bytes vs 2469
5732	diff	338 bytes vs 332
5733	diff	398 bytes vs 392
5739	diff	same length, different bytes
5787	diff	431 bytes vs 416
5788	diff	1277 bytes vs 1262
5791	diff	219 bytes vs 204
5833	diff	260 bytes vs 266
5847	diff	728 bytes vs 722
5848	diff	261 bytes vs 255
5849	diff	same length, different bytes
5878	diff	same length, different bytes
5892	diff	same length, different bytes
5894	diff	same length, different bytes
5911	diff	same length, different bytes
5921	diff	same length, different bytes
5928	diff	143 bytes vs 137
5944	diff	136 bytes vs 130
5945	diff	90 bytes vs 84
5946	diff	same length, different bytes
5955	decompile	script 5955 pc 11: opcode 7453 has no recorded signature
5989	diff	same length, different bytes
5990	diff	same length, different bytes
5991	diff	same length, different bytes
5992	diff	200 bytes vs 191
5993	diff	same length, different bytes
5994	diff	same length, different bytes
6016	diff	same length, different bytes
6037	diff	452 bytes vs 443
6042	diff	127 bytes vs 121
6045	diff	same length, different bytes
6065	diff	same length, different bytes
6074	diff	same length, different bytes
6080	diff	4006 bytes vs 4012
6087	diff	same length, different bytes
6099	diff	same length, different bytes
6100	diff	same length, different bytes
6105	diff	595 bytes vs 589
6119	diff	same length, different bytes
6146	diff	839 bytes vs 833
6152	diff	same length, different bytes
6153	diff	same length, different bytes
6154	diff	same length, different bytes
6155	diff	same length, different bytes
6173	diff	same length, different bytes
6189	diff	same length, different bytes
6190	diff	same length, different bytes
6202	diff	586 bytes vs 607
6208	diff	same length, different bytes
6263	diff	same length, different bytes
6264	diff	same length, different bytes
6268	diff	2046 bytes vs 2049
6269	diff	3519 bytes vs 3525
6270	diff	826 bytes vs 694
6288	diff	1426 bytes vs 1453
6306	diff	266 bytes vs 260
6311	diff	same length, different bytes
6319	diff	same length, different bytes
6325	diff	197 bytes vs 191
6335	diff	272 bytes vs 266
6359	diff	same length, different bytes
6360	diff	same length, different bytes
6373	diff	5297 bytes vs 5261
6374	diff	same length, different bytes
6390	diff	same length, different bytes
6391	diff	same length, different bytes
6397	diff	same length, different bytes
6419	diff	217 bytes vs 211
6425	diff	same length, different bytes
6432	diff	137 bytes vs 131
6484	diff	same length, different bytes
6485	diff	1613 bytes vs 1604
6498	decompile	script 6498 pc 13: opcode 8 left 1 values on the operand stack
6501	decompile	script 6501 pc 13: opcode 8 left 2 values on the operand stack
6503	decompile	script 6503 pc 13: opcode 8 left 2 values on the operand stack
6505	decompile	script 6505 pc 13: opcode 8 left 1 values on the operand stack
6507	decompile	script 6507 pc 13: opcode 8 left 1 values on the operand stack
6524	diff	167 bytes vs 161
6536	diff	same length, different bytes
6545	diff	same length, different bytes
6551	diff	same length, different bytes
6587	diff	138 bytes vs 141
6593	diff	131 bytes vs 128
6626	diff	215 bytes vs 209
6647	diff	287 bytes vs 281
6649	diff	266 bytes vs 260
6650	diff	same length, different bytes
6652	diff	197 bytes vs 191
6653	diff	997 bytes vs 991
6654	diff	479 bytes vs 473
6655	diff	974 bytes vs 968
6658	diff	120 bytes vs 114
6664	diff	same length, different bytes
6668	diff	same length, different bytes
6677	diff	279 bytes vs 276
6679	diff	same length, different bytes
6680	diff	same length, different bytes
6689	decompile	script 6689 pc 16: opcode 7042 was given an argument of the wrong stack type
6716	diff	7686 bytes vs 7671
6723	diff	104 bytes vs 95
6755	diff	same length, different bytes
6759	diff	4244 bytes vs 4238
6794	diff	1631 bytes vs 1622
6797	diff	same length, different bytes
6803	diff	same length, different bytes
6806	diff	same length, different bytes
6807	diff	same length, different bytes
6809	diff	same length, different bytes
6810	diff	same length, different bytes
6811	diff	same length, different bytes
6812	diff	same length, different bytes
6830	diff	same length, different bytes
6854	diff	546 bytes vs 540
6856	diff	same length, different bytes
6859	diff	same length, different bytes
6905	diff	1114 bytes vs 1120
6906	diff	1231 bytes vs 1237
6922	diff	134 bytes vs 131
6924	diff	same length, different bytes
6930	diff	same length, different bytes
6941	diff	same length, different bytes
6957	diff	242 bytes vs 227
6958	diff	242 bytes vs 227
6966	diff	196 bytes vs 190
6981	diff	452 bytes vs 443
6999	diff	452 bytes vs 443
7008	diff	178 bytes vs 166
7014	diff	196 bytes vs 190
7016	diff	302 bytes vs 296
7054	diff	104 bytes vs 95
7056	diff	same length, different bytes
7104	diff	195 bytes vs 201
7106	diff	238 bytes vs 232
7110	diff	182 bytes vs 179
7121	diff	104 bytes vs 101
7144	diff	same length, different bytes
7152	diff	317 bytes vs 323
7167	diff	288 bytes vs 282
7168	diff	288 bytes vs 282
7178	diff	same length, different bytes
7179	diff	939 bytes vs 945
7180	diff	677 bytes vs 683
7214	diff	23 bytes vs 26
7225	diff	same length, different bytes
7227	decompile	script 7227 pc 19: opcode 8 left 2 values on the operand stack
7228	diff	same length, different bytes
7232	decompile	script 7232 pc 273: opcode 6860 has no recorded signature
7235	diff	634 bytes vs 622
7236	diff	same length, different bytes
7238	diff	same length, different bytes
7239	diff	same length, different bytes
7240	diff	same length, different bytes
7241	diff	same length, different bytes
7242	diff	same length, different bytes
7243	diff	same length, different bytes
7254	diff	3291 bytes vs 3288
7257	diff	same length, different bytes
7259	diff	same length, different bytes
7263	diff	same length, different bytes
7264	diff	203 bytes vs 209
7265	diff	same length, different bytes
7266	diff	same length, different bytes
7273	diff	same length, different bytes
7281	diff	same length, different bytes
7293	diff	same length, different bytes
7295	diff	same length, different bytes
7300	diff	15519 bytes vs 15513
7304	diff	same length, different bytes
7305	diff	893 bytes vs 887
7309	diff	same length, different bytes
7310	diff	same length, different bytes
7315	diff	same length, different bytes
7319	diff	same length, different bytes
7320	diff	same length, different bytes
7323	diff	same length, different bytes
7324	diff	same length, different bytes
7327	diff	same length, different bytes
7328	diff	same length, different bytes
7334	diff	same length, different bytes
7347	diff	same length, different bytes
7349	diff	same length, different bytes
7350	diff	same length, different bytes
7351	diff	288 bytes vs 282
7366	diff	same length, different bytes
7371	diff	same length, different bytes
7372	diff	same length, different bytes
7383	diff	same length, different bytes
7384	diff	same length, different bytes
7385	diff	186 bytes vs 171
7413	diff	411 bytes vs 408
7424	diff	833 bytes vs 827
7425	diff	1704 bytes vs 1698
7430	diff	same length, different bytes
7443	diff	same length, different bytes
7496	decompile	script 7496 pc 93: opcode 7816 has no recorded signature
7514	diff	same length, different bytes
7527	diff	131 bytes vs 134
7530	diff	401 bytes vs 395
7535	diff	385 bytes vs 379
7542	diff	329 bytes vs 326
7547	decompile	script 7547 pc 4: opcode 7806 has no recorded signature
7551	decompile	script 7551 pc 6: opcode 7808 has no recorded signature
7603	diff	same length, different bytes
7617	diff	same length, different bytes
7618	diff	same length, different bytes
7619	diff	same length, different bytes
7620	diff	same length, different bytes
7621	diff	same length, different bytes
7622	diff	same length, different bytes
7623	diff	same length, different bytes
7624	diff	same length, different bytes
7625	diff	same length, different bytes
7626	diff	same length, different bytes
7627	diff	95 bytes vs 89
