source,line,exclusive_seconds,exclusive_percent
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\toridraw_2d.c,79,0.072313,0.120653
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\toridraw_render.u.c,1061,0.072269,0.120580
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\toridraw_render.u.c,1649,0.072224,0.120505
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\toridraw_2d.c,647,0.070443,0.117533
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\toridraw_render.u.c,1639,0.070282,0.117265
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\toolchains\mingw32\lib\gcc\i686-w64-mingw32\15.2.0\include\emmintrin.h,743,0.069291,0.115611
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\<artificial>,10126,0.068321,0.113993
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\bzip\bzip.c,469,0.067438,0.112519
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\graphics\raster\texture\span\tex.span.sse2.u.c,668,0.067392,0.112443
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\bzip\bzip.c,340,0.067356,0.112383
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\toridraw_font.c,843,0.066524,0.110994
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\graphics\raster\gouraudhsllightness\gouraudhsllightness.screen.opaque.bary.branching.s4.c,139,0.066389,0.110769
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\render\torirs_frame.c,2077,0.066366,0.110731
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\ui\uitree_layout.c,426,0.064594,0.107774
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\app.c,6101,0.063478,0.105912
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\toridraw_lighting.c,87,0.063474,0.105906
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\toridraw_2d.c,73,0.062669,0.104562
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\graphics\raster\gouraudhsllightness\gouraudhsllightness.screen.opaque.bary.branching.s4.c,533,0.062522,0.104317
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\toolchains\mingw32\lib\gcc\i686-w64-mingw32\15.2.0\include\emmintrin.h,1487,0.062515,0.104306
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\graphics\raster\texture\span\tex.span_uv.h,79,0.062436,0.104174
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\toolchains\mingw32\lib\gcc\i686-w64-mingw32\15.2.0\include\emmintrin.h,1330,0.060536,0.101004
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\graphics\raster\gouraudhsllightness\gouraudhsllightness.screen.opaque.bary.branching.s4.c,322,0.060519,0.100975
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\toridraw_sprite.c,492,0.058779,0.098072
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\bzip\bzip.c,468,0.058616,0.097800
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\graphics\raster\gouraudhsllightness\gouraudhsllightness.screen.opaque.bary.branching.s4.c,158,0.058603,0.097778
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\toridraw_model.h,222,0.058603,0.097778
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\ui\uitree_layout.c,453,0.057667,0.096217
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\painters\painters_bucket.u.c,255,0.057622,0.096142
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\bzip\bzip.c,466,0.056666,0.094547
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\graphics\raster\gouraudhsllightness\gouraudhsllightness.screen.opaque.bary.branching.s4.c,445,0.056636,0.094496
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\<artificial>,10101,0.056597,0.094431
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\platform\platform_sdl2_renderer_soft3d.c,1457,0.055873,0.093223
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\<artificial>,96,0.054717,0.091295
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\toridraw_raster.u.c,416,0.054696,0.091260
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\toridraw_render.u.c,1092,0.054671,0.091218
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\graphics\raster\flat\flat_screen_edges.h,29,0.054667,0.091211
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\graphics\raster\texture\span\tex.span_uv.h,81,0.054646,0.091176
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\graphics\clamp.h,7,0.054491,0.090918
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\toridraw_lighting.c,173,0.052745,0.088004
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\graphics\raster\texture\span\tex.span.sse2.u.c,1080,0.052743,0.088001
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\toolchains\mingw32\lib\gcc\i686-w64-mingw32\15.2.0\include\emmintrin.h,1252,0.052726,0.087973
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\toridraw_render.u.c,1059,0.051379,0.085725
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\graphics\shared_tables.h,50,0.050798,0.084756
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\toridraw_render.u.c,1248,0.050777,0.084721
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\bzip\bzip.c,364,0.049807,0.083102
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\graphics\shared_tables.h,45,0.048862,0.081526
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\js5\js5.c,2170,0.048835,0.081481
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\graphics\raster\gouraudhsllightness\gouraudhsllightness.screen.opaque.bary.branching.s4.c,355,0.048784,0.081396
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\engine\dat2\dat2_group_cache.c,245,0.047851,0.079839
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\world\entity_pool.c,71,0.046903,0.078257
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\graphics\raster\texture\span\tex.span.sse2.u.c,672,0.046869,0.078200
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\js5\js5.c,1310,0.046863,0.078190
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\graphics\raster\gouraudhsllightness\gouraudhsllightness.screen.opaque.bary.branching.s4.c,136,0.046858,0.078182
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\render\torirs_frame.c,2079,0.046823,0.078124
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\toridraw_2d.c,76,0.045111,0.075267
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\toridraw_font.c,845,0.045023,0.075120
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\ui\uitree_layout.c,465,0.045006,0.075092
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\toridraw_font.c,1439,0.044947,0.074994
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\cs2vm2\cs2vm2.c,770,0.044915,0.074940
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\toridraw_render.u.c,1045,0.044900,0.074915
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\toolchains\mingw32\lib\gcc\i686-w64-mingw32\15.2.0\include\emmintrin.h,1230,0.044894,0.074905
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\ui\uitree_layout.c,464,0.043990,0.073397
R:\winlibs_staging_msvcrt32\gcc-15.2.0\build_mingw\i686-w64-mingw32\libgcc\..\..\..\libgcc\libgcc2.c,1017,0.043968,0.073360
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\hmap\hmap.h,241,0.043967,0.073358
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\toridraw_2d.c,65,0.043097,0.071907
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\toridraw_2d.c,78,0.043061,0.071847
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\graphics\raster\gouraudhsllightness\gouraudhsllightness.screen.opaque.bary.branching.s4.c,530,0.042981,0.071713
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\toridraw_raster.u.c,454,0.042975,0.071703
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\graphics\raster\texture\span\tex.span.sse2.u.c,690,0.042922,0.071615
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\ui\uitree_emit.c,228,0.042036,0.070137
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\ui\uitree_layout.c,434,0.042002,0.070080
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\toridraw_scene.c,181,0.041991,0.070061
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\ui\uitree.c,3741,0.041986,0.070053
