source,line,exclusive_seconds,exclusive_percent
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\graphics\raster\gouraudhsllightness\gouraudhsllightness.screen.opaque.bary.branching.s4.c,348,0.046872,0.078185
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\toolchains\mingw32\lib\gcc\i686-w64-mingw32\15.2.0\include\emmintrin.h,1181,0.046865,0.078174
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\toridraw_2d.c,65,0.045932,0.076617
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\ui\uitree.c,1635,0.045912,0.076584
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\engine\world_builder\world_scenery.u.c,649,0.045903,0.076569
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\ui\uitree_layout.c,464,0.045020,0.075096
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\toridraw_render.u.c,1119,0.044927,0.074941
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\hmap\hmap.h,241,0.044923,0.074934
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\render\torirs_frame.c,1977,0.044865,0.074838
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\<artificial>,105,0.043931,0.073280
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\toolchains\mingw32\lib\gcc\i686-w64-mingw32\15.2.0\include\emmintrin.h,1252,0.042968,0.071673
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\engine\uitree_from_component.c,126,0.042967,0.071672
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\perf\torirs_perf.c,1119,0.042952,0.071647
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\toridraw_2d.c,643,0.041043,0.068462
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\bzip\bzip.c,523,0.041037,0.068452
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\ui\uitree.c,1768,0.041037,0.068452
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\toridraw_render.u.c,1647,0.041023,0.068429
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\toridraw_lighting.c,182,0.041021,0.068426
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\graphics\raster\gouraudhsllightness\gouraudhsllightness.screen.opaque.bary.branching.s4.c,442,0.041014,0.068414
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\graphics\raster\gouraudhsllightness\gouraudhsllightness.screen.opaque.bary.branching.s4.c,355,0.041005,0.068399
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\bzip\bzip.c,415,0.040039,0.066788
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\toolchains\mingw32\lib\gcc\i686-w64-mingw32\15.2.0\include\emmintrin.h,1330,0.040036,0.066783
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\src\js5\js5.c,1311,0.040034,0.066779
C:\Users\mrobe\Documents\git_repos\oldschool-clientc\3rd\toridraw\graphics\raster\gouraudhsllightness\gouraudhsllightness.screen.opaque.bary.branching.s4.c,101,0.039098,0.065218
